,Feature,Score,P-value,Method
36,B.SkepticalBooster,4.570292251163653,0.034078828997133256,ANOVA
37,Age,4.341838599124526,0.038806931616394626,ANOVA
38,B.EliminateStigma,3.9819109584533323,0.04772123013106623,ANOVA
39,Race_Chinese,3.3953488372093026,0.06538053242846248,Chi2
40,FamilySideEffects,3.376871615164066,0.06611744262474915,Chi2
41,C.TrustSocialMedia,2.7724011790717897,0.0978965136969331,ANOVA
42,P.TrustReportsMOH,2.603566161278763,0.10863170728330726,ANOVA
43,P.AlternativeMedicineBelief,2.5810159077077692,0.1101616136153723,ANOVA
44,AdditionalVaccines,2.3316412039281413,0.1267681601396408,Chi2
45,C.SideEffectsNoImpact,2.088111875956655,0.1504424022609007,ANOVA
46,Location_Selangor,1.6976744186046513,0.19259239347510068,Chi2
47,Religion_Hindu,1.6976744186046513,0.19259239347510068,Chi2
48,Race_Indian,1.6976744186046513,0.19259239347510068,Chi2
49,CovidInfected,1.4067727798972807,0.2355928697466931,Chi2
50,CovidPatientCare,1.3677524689391518,0.24219841625432734,Chi2
51,Religion_Buddha,1.3518955081236066,0.24494701471184147,Chi2
52,Location_Terengganu,1.3518955081236066,0.24494701471184147,Chi2
53,Pregnant,1.3518955081236066,0.24494701471184147,Chi2
54,Location_Sabah,1.1780821917808217,0.2777467692577201,Chi2
55,Location_Kuantan ,1.1780821917808217,0.2777467692577201,Chi2
56,Race_Siam,1.1780821917808217,0.2777467692577201,Chi2
57,S.WorriedSideEffects,1.0647389003440628,0.3037237556935681,ANOVA
58,Gender,0.8883402357438664,0.34592748489535907,Chi2
59,Location_Perlis,0.8488372093023256,0.35688149383819434,Chi2
60,Location_Pahang,0.8488372093023256,0.35688149383819434,Chi2
61,Location_Negeri Sembilan,0.8488372093023256,0.35688149383819434,Chi2
62,Location_Kedah,0.8488372093023256,0.35688149383819434,Chi2
63,B.BoosterMoreSideEffects,0.8269187960621589,0.3645588742169882,ANOVA
64,Location_Johor,0.704404268875438,0.4013077415697339,Chi2
65,P.ProtectFlu,0.6151936877746553,0.43402078252683896,ANOVA
66,Location_Kelantan,0.39874391298411593,0.527738666411018,Chi2
67,PreExistingCondition,0.39450297151519836,0.5299418947644547,Chi2
68,P.HighRiskJob,0.29185453218779317,0.589800063642667,ANOVA
69,VaccinationSideEffects,0.27014972921312475,0.6032313503724862,Chi2
70,Severity,0.2301376234469577,0.6314218015603115,Chi2
71,PatientContact,0.16893012218646292,0.6810643974154347,Chi2
72,Race_Malay,0.12984356399121322,0.7185942922608037,Chi2
73,Religion_Islam,0.12984356399121322,0.7185942922608037,Chi2
74,VaccinationStage,0.03274802568702802,0.8563957109749588,Chi2
75,Occupation,0.015176105535390425,0.9019555853133592,Chi2
76,Location_Pulau Pinang,0.013459700541573744,0.9076399012693557,Chi2
77,Income,0.007363013698630001,0.931619042991358,Chi2
78,P.LongTermSideEffects,0.00626254069560965,0.9370250535335513,ANOVA
